2023-08-31T13:33:21.846Z warp-dns-stats: Queries: 36, Success: 97.2%, TimedOut: 0.0%, NoRecordsFound: 2.8%, Other Error: 0.0%, Avg Duration: 25.56ms
2023-08-31T13:35:21.848Z warp-dns-stats: Queries: 39, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 40.95ms
2023-08-31T13:37:21.849Z warp-dns-stats: Queries: 36, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 22.69ms
2023-08-31T13:39:21.851Z warp-dns-stats: Queries: 30, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 30.40ms
2023-08-31T13:41:21.853Z warp-dns-stats: Queries: 42, Success: 88.1%, TimedOut: 0.0%, NoRecordsFound: 11.9%, Other Error: 0.0%, Avg Duration: 37.45ms
2023-08-31T13:43:21.841Z warp-dns-stats: Queries: 39, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 23.26ms
2023-08-31T13:45:21.842Z warp-dns-stats: Queries: 42, Success: 88.1%, TimedOut: 0.0%, NoRecordsFound: 11.9%, Other Error: 0.0%, Avg Duration: 47.05ms
2023-08-31T13:47:21.843Z warp-dns-stats: Queries: 47, Success: 91.5%, TimedOut: 0.0%, NoRecordsFound: 8.5%, Other Error: 0.0%, Avg Duration: 53.96ms
2023-08-31T13:49:21.843Z warp-dns-stats: Queries: 38, Success: 92.1%, TimedOut: 0.0%, NoRecordsFound: 7.9%, Other Error: 0.0%, Avg Duration: 40.82ms
2023-08-31T13:51:21.845Z warp-dns-stats: Queries: 42, Success: 85.7%, TimedOut: 0.0%, NoRecordsFound: 14.3%, Other Error: 0.0%, Avg Duration: 45.45ms
